id,Points,Time,Latitude,Longitude,Direction
1,point 1,17:37:34,23.08155,74.139,Forward
2,point 2,17:38:34,23.08096,74.13883,Forward
3,point 3,17:39:34,23.08022,74.1388,Forward
4,point 4,17:40:34,23.08007,74.13892,Forward
5,point 5,17:41:34,23.07988,74.13911,Forward
6,point 6,17:42:34,23.07979,74.13924,Forward
7,point 7,17:43:34,23.07975,74.13928,Forward
8,point 8,17:44:34,23.0797,74.13936,Forward
9,point 9,17:45:34,23.07967,74.13942,Forward
10,point 10,17:46:34,23.07964,74.1395,Forward
11,point 11,17:47:34,23.07962,74.13968,Forward
12,point 12,17:48:34,23.07963,74.14003,Forward
13,point 13,17:49:34,23.07974,74.14052,Forward
14,point 14,17:50:34,23.07976,74.14066,Forward
15,point 15,17:51:34,23.07978,74.14073,Forward
16,point 16,17:52:34,23.07978,74.14081,Forward
17,point 17,17:53:34,23.07977,74.14083,Forward
18,point 18,17:54:34,23.07977,74.14085,Forward
19,point 19,17:55:34,23.07976,74.14086,Forward
20,point 20,17:56:34,23.07975,74.14088,Forward
21,point 21,17:57:34,23.07982,74.14101,Forward
22,point 22,17:58:34,23.07986,74.14115,Forward
23,point 23,17:59:34,23.07986,74.14124,Forward
24,point 24,18:00:34,23.07967,74.14237,Forward
25,point 25,18:01:34,23.07966,74.1424,Forward
26,point 26,18:02:34,23.07963,74.1426,Forward
27,point 27,18:03:34,23.07955,74.14345,Forward
28,point 28,18:04:34,23.07923,74.14498,Forward
29,point 29,18:05:34,23.07903,74.14582,Forward
30,point 30,18:06:34,23.07902,74.14584,Forward
31,point 31,18:07:34,23.07891,74.14616,Forward
32,point 32,18:08:34,23.07875,74.14672,Forward
33,point 33,18:09:34,23.07875,74.14675,Forward
34,point 34,18:10:34,23.07873,74.14693,Forward
35,point 35,18:11:34,23.07871,74.14731,Forward
36,point 36,18:12:34,23.07872,74.14752,Forward
37,point 37,18:13:34,23.0788,74.14837,Forward
38,point 38,18:14:34,23.07884,74.14852,Forward
39,point 39,18:15:34,23.07887,74.1486,Forward
40,point 40,18:16:34,23.07893,74.14869,Forward
41,point 41,18:17:34,23.07908,74.14888,Forward
42,point 42,18:18:34,23.0801,74.15037,Forward
43,point 43,18:19:34,23.08042,74.15089,Forward
44,point 44,18:20:34,23.08026,74.15101,Forward
45,point 45,18:21:34,23.08008,74.15118,Forward
46,point 46,18:22:34,23.07995,74.15133,Forward
47,point 47,18:23:34,23.0799,74.1514,Forward
48,point 48,18:24:34,23.07912,74.15224,Forward
49,point 49,18:25:34,23.07883,74.15259,Forward
50,point 50,18:26:34,23.07827,74.15315,Forward
51,point 51,18:27:34,23.07788,74.15351,Forward
52,point 52,18:28:34,23.07736,74.15396,Forward
53,point 53,18:29:34,23.07731,74.15401,Forward
54,point 54,18:30:34,23.07731,74.15414,Forward
55,point 55,18:31:34,23.07733,74.15423,Forward
56,point 56,18:32:34,23.07734,74.15425,Forward
57,point 57,18:33:34,23.07736,74.15427,Forward
58,point 58,18:34:34,23.07742,74.1543,Forward
59,point 59,18:35:34,23.07761,74.1543,Forward
60,point 60,18:36:34,23.07804,74.15434,Forward
61,point 61,18:37:34,23.07854,74.1545,Forward
62,point 62,18:38:34,23.07882,74.15463,Forward
63,point 63,18:39:34,23.07906,74.15476,Forward
64,point 64,18:40:34,23.07909,74.15479,Forward
65,point 65,18:41:34,23.07912,74.15481,Forward
66,point 66,18:42:34,23.07914,74.15484,Forward
67,point 67,18:43:34,23.07915,74.15484,Forward
68,point 68,18:44:34,23.07916,74.15486,Forward
69,point 69,18:45:34,23.07917,74.15487,Forward
70,point 70,18:46:34,23.07917,74.15488,Forward
71,point 71,18:47:34,23.07949,74.15512,Forward
72,point 72,18:48:34,23.07997,74.15556,Forward
73,point 73,18:49:34,23.082,74.15765,Forward
74,point 74,18:50:34,23.08226,74.1579,Forward
75,point 75,18:51:34,23.08278,74.15844,Forward
76,point 76,18:52:34,23.08288,74.15856,Forward
77,point 77,18:53:34,23.08291,74.15858,Forward
78,point 78,18:54:34,23.08302,74.1587,Forward
79,point 79,18:55:34,23.08388,74.15955,Forward
80,point 80,18:56:34,23.08396,74.15964,Forward
81,point 81,18:57:34,23.08467,74.16035,Forward
82,point 82,18:58:34,23.0851,74.1607,Forward
83,point 83,18:59:34,23.08545,74.16095,Forward
84,point 84,19:00:34,23.08551,74.16098,Forward
85,point 85,19:01:34,23.0877,74.16231,Forward
86,point 86,19:02:34,23.08774,74.16234,Forward
87,point 87,19:03:34,23.08806,74.16252,Forward
88,point 88,19:04:34,23.08833,74.16271,Forward
89,point 89,19:05:34,23.08904,74.1633,Forward
90,point 90,19:06:34,23.08906,74.16331,Forward
91,point 91,19:07:34,23.0894,74.16361,Forward
92,point 92,19:08:34,23.08974,74.16387,Forward
93,point 93,19:09:34,23.09063,74.16468,Forward
94,point 94,19:10:34,23.09197,74.16584,Forward
95,point 95,19:11:34,23.09204,74.16589,Forward
96,point 96,19:12:34,23.09321,74.16684,Forward
97,point 97,19:13:34,23.09368,74.16716,Forward
98,point 98,19:14:34,23.09388,74.16726,Forward
99,point 99,19:15:34,23.09389,74.16727,Forward
100,point 100,19:16:34,23.0947,74.16763,Forward
101,point 101,19:17:34,23.09557,74.1679,Forward
102,point 102,19:18:34,23.0967,74.16811,Forward
103,point 103,19:19:34,23.10432,74.16971,Forward
104,point 104,19:20:34,23.10521,74.16986,Forward
105,point 105,19:21:34,23.10563,74.16986,Forward
106,point 106,19:22:34,23.10592,74.16982,Forward
107,point 107,19:23:34,23.10628,74.16974,Forward
108,point 108,19:24:34,23.10651,74.16967,Forward
109,point 109,19:25:34,23.10695,74.16948,Forward
110,point 110,19:26:34,23.11093,74.1674,Forward
111,point 111,19:27:34,23.11255,74.16659,Forward
112,point 112,19:28:34,23.11325,74.16627,Forward
113,point 113,19:29:34,23.11366,74.16614,Forward
114,point 114,19:30:34,23.11369,74.16611,Forward
115,point 115,19:31:34,23.11371,74.1661,Forward
116,point 116,19:32:34,23.11372,74.1661,Forward
117,point 117,19:33:34,23.11381,74.16606,Forward
118,point 118,19:34:34,23.11396,74.16602,Forward
119,point 119,19:35:34,23.11466,74.16592,Forward
120,point 120,19:36:34,23.1152,74.16592,Forward
121,point 121,19:37:34,23.11536,74.16591,Forward
122,point 122,19:38:34,23.11594,74.16598,Forward
123,point 123,19:39:34,23.11629,74.16606,Forward
124,point 124,19:40:34,23.11701,74.16627,Forward
125,point 125,19:41:34,23.11704,74.16629,Forward
126,point 126,19:42:34,23.11706,74.16631,Forward
127,point 127,19:43:34,23.11709,74.16633,Forward
128,point 128,19:44:34,23.11711,74.16636,Forward
129,point 129,19:45:34,23.11892,74.16695,Forward
130,point 130,19:46:34,23.11893,74.16695,Forward
131,point 131,19:47:34,23.11919,74.16703,Forward
132,point 132,19:48:34,23.11958,74.1671,Forward
133,point 133,19:49:34,23.12018,74.16713,Forward
134,point 134,19:50:34,23.1217,74.16709,Forward
135,point 135,19:51:34,23.12309,74.16713,Forward
136,point 136,19:52:34,23.13038,74.16715,Forward
137,point 137,19:53:34,23.1305,74.16716,Forward
138,point 138,19:54:34,23.1306,74.16716,Forward
139,point 139,19:55:34,23.13066,74.16717,Forward
140,point 140,19:56:34,23.13075,74.16717,Forward
141,point 141,19:57:34,23.13184,74.16735,Forward
142,point 142,19:58:34,23.13387,74.1676,Forward
143,point 143,19:59:34,23.134,74.16763,Forward
144,point 144,20:00:34,23.13512,74.16776,Forward
145,point 145,20:01:34,23.13576,74.16781,Forward
146,point 146,20:02:34,23.13669,74.16784,Forward
147,point 147,20:03:34,23.13721,74.16788,Forward
148,point 148,20:04:34,23.13814,74.16791,Forward
149,point 149,20:05:34,23.13836,74.16793,Forward
150,point 150,20:06:34,23.14071,74.16801,Forward
151,point 151,20:07:34,23.14159,74.16814,Forward
152,point 152,20:08:34,23.14197,74.16821,Forward
153,point 153,20:09:34,23.14221,74.16823,Forward
154,point 154,20:10:34,23.14241,74.16826,Forward
155,point 155,20:11:34,23.14268,74.16828,Forward
156,point 156,20:12:34,23.14292,74.16828,Forward
157,point 157,20:13:34,23.14299,74.16827,Forward
158,point 158,20:14:34,23.14336,74.16825,Forward
159,point 159,20:15:34,23.14572,74.16787,Forward
160,point 160,20:16:34,23.1463,74.16783,Forward
161,point 161,20:17:34,23.14661,74.16783,Forward
162,point 162,20:18:34,23.14667,74.16784,Forward
163,point 163,20:19:34,23.14694,74.16786,Forward
164,point 164,20:20:34,23.14753,74.16787,Forward
165,point 165,20:21:34,23.1478,74.16786,Forward
166,point 166,20:22:34,23.14802,74.16784,Forward
167,point 167,20:23:34,23.14871,74.16772,Forward
168,point 168,20:24:34,23.14891,74.16767,Forward
169,point 169,20:25:34,23.14909,74.16764,Forward
170,point 170,20:26:34,23.14952,74.16754,Forward
171,point 171,20:27:34,23.1499,74.16748,Forward
172,point 172,20:28:34,23.15024,74.16746,Forward
173,point 173,20:29:34,23.15048,74.16746,Forward
174,point 174,20:30:34,23.15106,74.16756,Forward
175,point 175,20:31:34,23.15127,74.16762,Forward
176,point 176,20:32:34,23.15127,74.16763,Forward
177,point 177,20:33:34,23.15154,74.16773,Forward
178,point 178,20:34:34,23.15186,74.1679,Forward
179,point 179,20:35:34,23.15208,74.16804,Forward
180,point 180,20:36:34,23.15242,74.16829,Forward
181,point 181,20:37:34,23.15484,74.17037,Forward
182,point 182,20:38:34,23.15825,74.17256,Forward
183,point 183,20:39:34,23.15865,74.17287,Forward
184,point 184,20:40:34,23.15899,74.17308,Forward
185,point 185,20:41:34,23.15939,74.17338,Forward
186,point 186,20:42:34,23.15996,74.17395,Forward
187,point 187,20:43:34,23.1603,74.17442,Forward
188,point 188,20:44:34,23.16056,74.17491,Forward
189,point 189,20:45:34,23.16065,74.17511,Forward
190,point 190,20:46:34,23.16074,74.17536,Forward
191,point 191,20:47:34,23.16086,74.17576,Forward
192,point 192,20:48:34,23.16093,74.17613,Forward
193,point 193,20:49:34,23.16095,74.17631,Forward
194,point 194,20:50:34,23.16095,74.17636,Forward
195,point 195,20:51:34,23.16097,74.17649,Forward
196,point 196,20:52:34,23.16101,74.17711,Forward
197,point 197,20:53:34,23.16101,74.17729,Forward
198,point 198,20:54:34,23.16102,74.17734,Forward
199,point 199,20:55:34,23.16104,74.17787,Forward
200,point 200,20:56:34,23.16112,74.17874,Forward
201,point 201,20:57:34,23.1612,74.17917,Forward
202,point 202,20:58:34,23.16132,74.17958,Forward
203,point 203,20:59:34,23.1614,74.17978,Forward
204,point 204,21:00:34,23.16154,74.18007,Forward
205,point 205,21:01:34,23.16181,74.18049,Forward
206,point 206,21:02:34,23.16209,74.18081,Forward
207,point 207,21:03:34,23.16219,74.18091,Forward
208,point 208,21:04:34,23.16258,74.18124,Forward
209,point 209,21:05:34,23.16272,74.18133,Forward
210,point 210,21:06:34,23.16299,74.18148,Forward
211,point 211,21:07:34,23.16339,74.18165,Forward
212,point 212,21:08:34,23.16344,74.18166,Forward
213,point 213,21:09:34,23.16373,74.18175,Forward
214,point 214,21:10:34,23.16387,74.18178,Forward
215,point 215,21:11:34,23.16398,74.18179,Forward
216,point 216,21:12:34,23.1651,74.18201,Forward
217,point 217,21:13:34,23.16513,74.18202,Forward
218,point 218,21:14:34,23.16635,74.18226,Forward
219,point 219,21:15:34,23.16693,74.1823,Forward
220,point 220,21:16:34,23.16721,74.1823,Forward
221,point 221,21:17:34,23.16834,74.1822,Forward
222,point 222,21:18:34,23.1686,74.18219,Forward
223,point 223,21:19:34,23.16908,74.18215,Forward
224,point 224,21:20:34,23.16963,74.18216,Forward
225,point 225,21:21:34,23.16987,74.18218,Forward
226,point 226,21:22:34,23.17013,74.18224,Forward
227,point 227,21:23:34,23.17022,74.18227,Forward
228,point 228,21:24:34,23.17026,74.18227,Forward
229,point 229,21:25:34,23.17029,74.18226,Forward
230,point 230,21:26:34,23.17085,74.1825,Forward
231,point 231,21:27:34,23.17126,74.18274,Forward
232,point 232,21:28:34,23.17294,74.18387,Forward
233,point 233,21:29:34,23.17296,74.18388,Forward
234,point 234,21:30:34,23.17329,74.18413,Forward
235,point 235,21:31:34,23.17336,74.18417,Forward
236,point 236,21:32:34,23.17348,74.18427,Forward
237,point 237,21:33:34,23.17354,74.18428,Forward
238,point 238,21:34:34,23.17551,74.18557,Forward
239,point 239,21:35:34,23.17551,74.18558,Forward
240,point 240,21:36:34,23.17552,74.18558,Forward
241,point 241,21:37:34,23.17552,74.18559,Forward
242,point 242,21:38:34,23.17554,74.18563,Forward
243,point 243,21:39:34,23.17589,74.18584,Forward
244,point 244,21:40:34,23.17709,74.18666,Forward
245,point 245,21:41:34,23.17712,74.18667,Forward
246,point 246,21:42:34,23.18,74.18865,Forward
247,point 247,21:43:34,23.18028,74.18886,Forward
248,point 248,21:44:34,23.18046,74.18901,Forward
249,point 249,21:45:34,23.18074,74.18929,Forward
250,point 250,21:46:34,23.1809,74.18947,Forward
251,point 251,21:47:34,23.18104,74.18966,Forward
252,point 252,21:48:34,23.18138,74.19023,Forward
253,point 253,21:49:34,23.18145,74.19039,Forward
254,point 254,21:50:34,23.18362,74.19478,Forward
255,point 255,21:51:34,23.18371,74.19492,Forward
256,point 256,21:52:34,23.18389,74.19524,Forward
257,point 257,21:53:34,23.18408,74.19552,Forward
258,point 258,21:54:34,23.18421,74.19568,Forward
259,point 259,21:55:34,23.18444,74.19592,Forward
260,point 260,21:56:34,23.18817,74.1992,Forward
261,point 261,21:57:34,23.18847,74.19944,Forward
262,point 262,21:58:34,23.18864,74.19956,Forward
263,point 263,21:59:34,23.18881,74.19966,Forward
264,point 264,22:00:34,23.18906,74.19979,Forward
265,point 265,22:01:34,23.18934,74.19991,Forward
266,point 266,22:02:34,23.18964,74.2,Forward
267,point 267,22:03:34,23.19006,74.20008,Forward
268,point 268,22:04:34,23.19016,74.20009,Forward
269,point 269,22:05:34,23.19051,74.20009,Forward
270,point 270,22:06:34,23.1914,74.20004,Forward
271,point 271,22:07:34,23.19243,74.19993,Forward
272,point 272,22:08:34,23.19357,74.19984,Forward
273,point 273,22:09:34,23.19379,74.19984,Forward
274,point 274,22:10:34,23.19415,74.19987,Forward
275,point 275,22:11:34,23.19622,74.20019,Forward
276,point 276,22:12:34,23.1963,74.20021,Forward
277,point 277,22:13:34,23.19634,74.20021,Forward
278,point 278,22:14:34,23.19752,74.20043,Forward
279,point 279,22:15:34,23.19787,74.20048,Forward
280,point 280,22:16:34,23.198,74.20052,Forward
281,point 281,22:17:34,23.19817,74.20062,Forward
282,point 282,22:18:34,23.19826,74.2007,Forward
283,point 283,22:19:34,23.19829,74.20075,Forward
284,point 284,22:20:34,23.19835,74.20082,Forward
285,point 285,22:21:34,23.19843,74.20098,Forward
286,point 286,22:22:34,23.19852,74.20122,Forward
287,point 287,22:23:34,23.19876,74.202,Forward
288,point 288,22:24:34,23.19893,74.20241,Forward
289,point 289,22:25:34,23.1991,74.2027,Forward
290,point 290,22:26:34,23.1997,74.2036,Forward
291,point 291,22:27:34,23.19981,74.20379,Forward
292,point 292,22:28:34,23.19994,74.20408,Forward
293,point 293,22:29:34,23.20011,74.20487,Forward
294,point 294,22:30:34,23.20027,74.20586,Forward
295,point 295,22:31:34,23.20028,74.20596,Forward
296,point 296,22:32:34,23.20038,74.20655,Forward
297,point 297,22:33:34,23.20046,74.20676,Forward
298,point 298,22:34:34,23.20057,74.207,Forward
299,point 299,22:35:34,23.20117,74.20802,Forward
300,point 300,22:36:34,23.20149,74.20865,Forward
301,point 301,22:37:34,23.2015,74.20865,Forward
302,point 302,22:38:34,23.20157,74.20891,Forward
303,point 303,22:39:34,23.2016,74.20906,Forward
304,point 304,22:40:34,23.20161,74.20922,Forward
305,point 305,22:41:34,23.20158,74.20984,Forward
306,point 306,22:42:34,23.20153,74.21027,Forward
307,point 307,22:43:34,23.2015,74.21068,Forward
308,point 308,22:44:34,23.20145,74.21102,Forward
309,point 309,22:45:34,23.20127,74.21294,Forward
310,point 310,22:46:34,23.2012,74.2135,Forward
311,point 311,22:47:34,23.20119,74.21374,Forward
312,point 312,22:48:34,23.2012,74.21394,Forward
313,point 313,22:49:34,23.20125,74.21415,Forward
314,point 314,22:50:34,23.20165,74.21529,Forward
315,point 315,22:51:34,23.2017,74.21538,Forward
316,point 316,22:52:34,23.20181,74.21551,Forward
317,point 317,22:53:34,23.20189,74.21558,Forward
318,point 318,22:54:34,23.20195,74.21562,Forward
319,point 319,22:55:34,23.20208,74.21568,Forward
320,point 320,22:56:34,23.20377,74.21613,Forward
321,point 321,22:57:34,23.20402,74.21621,Forward
322,point 322,22:58:34,23.20418,74.2163,Forward
323,point 323,22:59:34,23.20428,74.2164,Forward
324,point 324,23:00:34,23.20433,74.21649,Forward
325,point 325,23:01:34,23.20438,74.21662,Forward
326,point 326,23:02:34,23.2044,74.21671,Forward
327,point 327,23:03:34,23.20441,74.21702,Forward
328,point 328,23:04:34,23.20438,74.21731,Forward
329,point 329,23:05:34,23.20436,74.21824,Forward
330,point 330,23:06:34,23.20442,74.21862,Forward
331,point 331,23:07:34,23.20446,74.21877,Forward
332,point 332,23:08:34,23.20452,74.21894,Forward
333,point 333,23:09:34,23.20468,74.2192,Forward
334,point 334,23:10:34,23.20482,74.21937,Forward
335,point 335,23:11:34,23.20493,74.21948,Forward
336,point 336,23:12:34,23.20518,74.21967,Forward
337,point 337,23:13:34,23.20553,74.21998,Forward
338,point 338,23:14:34,23.20571,74.22012,Forward
339,point 339,23:15:34,23.20583,74.22024,Forward
340,point 340,23:16:34,23.20589,74.22031,Forward
341,point 341,23:17:34,23.20595,74.22041,Forward
342,point 342,23:18:34,23.20602,74.22059,Forward
343,point 343,23:19:34,23.20658,74.2227,Forward
344,point 344,23:20:34,23.20663,74.22294,Forward
345,point 345,23:21:34,23.20666,74.22304,Forward
346,point 346,23:22:34,23.20677,74.22356,Forward
347,point 347,23:23:34,23.20681,74.2238,Forward
348,point 348,23:24:34,23.20683,74.22403,Forward
349,point 349,23:25:34,23.20684,74.22449,Forward
350,point 350,23:26:34,23.2068,74.22494,Forward
351,point 351,23:27:34,23.20676,74.22589,Forward
352,point 352,23:28:34,23.20669,74.22675,Forward
353,point 353,23:29:34,23.20666,74.22693,Forward
354,point 354,23:30:34,23.20651,74.22732,Forward
355,point 355,23:31:34,23.20643,74.22747,Forward
356,point 356,23:32:34,23.20634,74.22767,Forward
357,point 357,23:33:34,23.20625,74.22781,Forward
358,point 358,23:34:34,23.20513,74.22938,Forward
359,point 359,23:35:34,23.20204,74.23335,Forward
360,point 360,23:36:34,23.20191,74.23359,Forward
361,point 361,23:37:34,23.20186,74.23374,Forward
362,point 362,23:38:34,23.20183,74.23387,Forward
363,point 363,23:39:34,23.20183,74.23391,Forward
364,point 364,23:40:34,23.20181,74.23399,Forward
365,point 365,23:41:34,23.2018,74.23414,Forward
366,point 366,23:42:34,23.2018,74.23432,Forward
367,point 367,23:43:34,23.20184,74.23452,Forward
368,point 368,23:44:34,23.20189,74.23471,Forward
369,point 369,23:45:34,23.20197,74.23488,Forward
370,point 370,23:46:34,23.20251,74.23559,Forward
371,point 371,23:47:34,23.20314,74.23625,Forward
372,point 372,23:48:34,23.20415,74.23719,Forward
373,point 373,23:49:34,23.20486,74.23772,Forward
374,point 374,23:50:34,23.20528,74.23795,Forward
375,point 375,23:51:34,23.20581,74.23819,Forward
376,point 376,23:52:34,23.20631,74.23832,Forward
377,point 377,23:53:34,23.20634,74.23832,Forward
378,point 378,23:54:34,23.20648,74.23836,Forward
379,point 379,23:55:34,23.20701,74.23847,Forward
