id,Points,Time,Latitude,Longitude,Direction
1,Point 1,13:01:30,18.53555,73.88327,Forward
2,Point 2,13:02:00,18.53536,73.88294,Forward
3,Point 3,13:02:30,18.53529,73.88281,Forward
4,Point 4,13:03:00,18.53524,73.8827,Forward
5,Point 5,13:03:30,18.53511,73.88235,Forward
6,Point 6,13:04:00,18.53508,73.88223,Forward
7,Point 7,13:04:30,18.53503,73.88204,Forward
8,Point 8,13:05:00,18.53497,73.88183,Forward
9,Point 9,13:05:30,18.53492,73.88162,Forward
10,Point 10,13:06:00,18.5349,73.88145,Forward
11,Point 11,13:06:30,18.53487,73.88126,Forward
12,Point 12,13:07:00,18.53486,73.88124,Forward
13,Point 13,13:07:30,18.53485,73.88113,Forward
14,Point 14,13:08:00,18.53482,73.88089,Forward
15,Point 15,13:08:30,18.5348,73.88062,Forward
16,Point 16,13:09:00,18.53478,73.88048,Forward
17,Point 17,13:09:30,18.53478,73.88045,Forward
18,Point 18,13:10:00,18.53478,73.88036,Forward
19,Point 19,13:10:30,18.53477,73.88029,Forward
20,Point 20,13:11:00,18.53477,73.88006,Forward
21,Point 21,13:11:30,18.53476,73.87993,Forward
22,Point 22,13:12:00,18.53476,73.87982,Forward
23,Point 23,13:12:30,18.53476,73.87969,Forward
24,Point 24,13:13:00,18.53444,73.87945,Forward
25,Point 25,13:13:30,18.53419,73.87927,Forward
26,Point 26,13:14:00,18.53417,73.87927,Forward
27,Point 27,13:14:30,18.53405,73.8792,Forward
28,Point 28,13:15:00,18.53391,73.87911,Forward
29,Point 29,13:15:30,18.5338,73.87905,Forward
30,Point 30,13:16:00,18.53372,73.87899,Forward
31,Point 31,13:16:30,18.53366,73.87894,Forward
32,Point 32,13:17:00,18.53361,73.87889,Forward
33,Point 33,13:17:30,18.53358,73.87887,Forward
34,Point 34,13:18:00,18.53359,73.87886,Forward
35,Point 35,13:18:30,18.53367,73.87875,Forward
36,Point 36,13:19:00,18.53372,73.8788,Forward
37,Point 37,13:19:30,18.53376,73.87884,Forward
38,Point 38,13:20:00,18.53387,73.87895,Forward
39,Point 39,13:20:30,18.53396,73.87901,Forward
40,Point 40,13:21:00,18.53416,73.87913,Forward
41,Point 41,13:21:30,18.53423,73.87918,Forward
42,Point 42,13:22:00,18.53453,73.87939,Forward
43,Point 43,13:22:30,18.53475,73.87953,Forward
44,Point 44,13:23:00,18.53483,73.87959,Forward
45,Point 45,13:23:30,18.53548,73.88007,Forward
46,Point 46,13:24:00,18.53602,73.88043,Forward
47,Point 47,13:24:30,18.53659,73.8808,Forward
48,Point 48,13:25:00,18.53664,73.88083,Forward
49,Point 49,13:25:30,18.53708,73.8811,Forward
50,Point 50,13:26:00,18.53745,73.88135,Forward
51,Point 51,13:26:30,18.53778,73.88157,Forward
52,Point 52,13:27:00,18.53838,73.88195,Forward
53,Point 53,13:27:30,18.53856,73.88207,Forward
54,Point 54,13:28:00,18.53878,73.88221,Forward
55,Point 55,13:28:30,18.53927,73.88253,Forward
56,Point 56,13:29:00,18.53933,73.88257,Forward
57,Point 57,13:29:30,18.53981,73.88288,Forward
58,Point 58,13:30:00,18.53991,73.88295,Forward
59,Point 59,13:30:30,18.54027,73.88318,Forward
60,Point 60,13:31:00,18.54054,73.88337,Forward
61,Point 61,13:31:30,18.54074,73.88349,Forward
62,Point 62,13:32:00,18.5409,73.88361,Forward
63,Point 63,13:32:30,18.54127,73.88394,Forward
64,Point 64,13:33:00,18.54133,73.88399,Forward
65,Point 65,13:33:30,18.54137,73.884,Forward
66,Point 66,13:34:00,18.54144,73.88402,Forward
67,Point 67,13:34:30,18.54148,73.88404,Forward
68,Point 68,13:35:00,18.54158,73.88405,Forward
69,Point 69,13:35:30,18.54174,73.88402,Forward
70,Point 70,13:36:00,18.54208,73.88394,Forward
71,Point 71,13:36:30,18.54473,73.88331,Forward
72,Point 72,13:37:00,18.5448,73.8833,Forward
73,Point 73,13:37:30,18.54489,73.88331,Forward
74,Point 74,13:38:00,18.54496,73.88333,Forward
75,Point 75,13:38:30,18.545,73.88334,Forward
76,Point 76,13:39:00,18.54503,73.88336,Forward
77,Point 77,13:39:30,18.54506,73.88338,Forward
78,Point 78,13:40:00,18.54509,73.88341,Forward
79,Point 79,13:40:30,18.54514,73.88346,Forward
80,Point 80,13:41:00,18.54516,73.88365,Forward
81,Point 81,13:41:30,18.54518,73.88389,Forward
82,Point 82,13:42:00,18.54519,73.88403,Forward
83,Point 83,13:42:30,18.5452,73.8841,Forward
84,Point 84,13:43:00,18.54519,73.88422,Forward
85,Point 85,13:43:30,18.54517,73.88431,Forward
86,Point 86,13:44:00,18.54509,73.88483,Forward
87,Point 87,13:44:30,18.54508,73.88487,Forward
88,Point 88,13:45:00,18.54508,73.8849,Forward
89,Point 89,13:45:30,18.54509,73.88495,Forward
90,Point 90,13:46:00,18.54528,73.88581,Forward
91,Point 91,13:46:30,18.54538,73.88634,Forward
92,Point 92,13:47:00,18.54543,73.88653,Forward
